"ID","SESCORE__SUPPORTER_ID__C","MAILINGCITY","STATUS"
"0035g00000mgGP5AAM","S0170083M1","","Item Updated"
"0035g00000oaYptAAE","S0359967M1","","Item Updated"
"0035g00000mfwp5AAA","S0095855M1","","Item Updated"
"0035g00000mggSFAAY","S0269092M1","Seri Kembangan","Item Updated"
"0035g00000mgVnPAAU","S0228541M1","","Item Updated"
"0035g00000mgga3AAA","S0269572M1","Seri Kembangan","Item Updated"
"0035g00000mgYmNAAU","S0239924M1","","Item Updated"
"0035g00000mgdwhAAA","S0259524M1","Seri Kembangan","Item Updated"
"0035g00000mffNOAAY","S0029985M1","","Item Updated"
"0035g00000mggOfAAI","S0268876M1","Seri Kembangan","Item Updated"
"0035g00000oapSyAAI","S0421888M1","Seri Kembangan","Item Updated"
"0035g00000mfgaVAAQ","S0034632M1","Seri Kembangan","Item Updated"
"0035g00000mgm2mAAA","S0290208M1","Seri Kembangan","Item Updated"
"0035g00000oadPmAAI","S0376742M1","","Item Updated"
"0035g00000mfprcAAA","S0069824M1","","Item Updated"
"0035g00000mgaAhAAI","S0245236M1","Seri Kembangan","Item Updated"
"0035g00000mg0qGAAQ","S0111079M1","Seri Kembangan","Item Updated"
"0035g00000mfmPGAAY","S0056689M1","","Item Updated"
"0035g00000mgCL9AAM","S0154923M1","","Item Updated"
"0035g00000mglBgAAI","S0286921M1","Seri Kembangan","Item Updated"
"0035g00000mfogOAAQ","S0065334M1","","Item Updated"
"0035g00000mgGP9AAM","S0170087M1","","Item Updated"
"0035g00000oawp8AAA","S0449690M1","Seri Kembangan","Item Updated"
"0035g00000mfvqzAAA","S0092164M1","","Item Updated"
"0035g00000mgUIUAA2","S0222805M1","","Item Updated"
"0035g00000mgUV1AAM","S0223577M1","Seri Kembangan","Item Updated"
"0035g00000mgga5AAA","S0269574M1","","Item Updated"
"0035g00000mgYmQAAU","S0239927M1","","Item Updated"
"0035g00000oaToWAAU","S0340905M1","Seri Kembangan","Item Updated"
"0035g00000mfYVZAA2","S0004157M1","Seri Kembangan","Item Updated"
"0035g00000mggOiAAI","S0268879M1","Seri Kembangan","Item Updated"
"0035g00000oap87AAA","S0420615M1","Seri Kembangan","Item Updated"
"0035g00000mfgnSAAQ","S0035430M1","Seri Kembangan","Item Updated"
"0035g00000mgrwZAAQ","S0312027M1","Seri Kembangan","Item Updated"
"0035g00000oadHMAAY","S0376220M1","Seri Kembangan","Item Updated"
"0035g00000mfmK7AAI","S0056370M1","","Item Updated"
"0035g00000mgaAvAAI","S0245250M1","Seri Kembangan","Item Updated"
"0035g00000mg0qxAAA","S0111122M1","Seri Kembangan","Item Updated"
"0035g00000mfmOOAAY","S0056635M1","","Item Updated"
"0035g00000mgCBTAA2","S0154323M1","Seri Kembangan","Item Updated"
"0035g00000mgkbLAAQ","S0284803M1","Seri Kembangan","Item Updated"
"0035g00000mfoWDAAY","S0064708M1","Seri Kembangan","Item Updated"
"0035g00000mgGPTAA2","S0170107M1","","Item Updated"
"0035g00000oajCmAAI","S0398330M1","","Item Updated"
"0035g00000mfvJYAAY","S0090116M1","Seri Kembangan","Item Updated"
"0035g00000mgogaAAA","S0300134M1","","Item Updated"
