"ID","SESCORE__SUPPORTER_ID__C","MAILINGCOUNTRY","STATUS"
"0035g00000oag4dAAA","S0386538M1","Malaysia","Item Updated"
"0035g00000mgGNcAAM","S0169992M1","Malaysia","Item Updated"
"0035g00000mghqPAAQ","S0274414M1","Malaysia","Item Updated"
"0035g00000mfwEiAAI","S0093615M1","Malaysia","Item Updated"
"0035g00000mgqJLAAY","S0306116M1","Malaysia","Item Updated"
"0035g00000mgVhBAAU","S0228155M1","Malaysia","Item Updated"
"0035g00000mgTpNAAU","S0221005M1","Malaysia","Item Updated"
"0035g00000mgLzcAAE","S0191123M1","Malaysia","Item Updated"
"0035g00000oaSKTAA2","S0335567M1","Malaysia","Item Updated"
"0035g00000mfbK8AAI","S0014587M1","Malaysia","Item Updated"
"0035g00000mgj1DAAQ","S0278854M1","Malaysia","Item Updated"
"0035g00000oam4jAAA","S0409218M1","Malaysia","Item Updated"
"0035g00000mfZ0NAAU","S0005972M1","Malaysia","Item Updated"
"0035g00000ob57qAAA","S0481304M1","Malaysia","Item Updated"
"0035g00000mfkKKAAY","S0048910M1","Malaysia","Item Updated"
"0035g00000mfmIwAAI","S0056297M1","Malaysia","Item Updated"
"0035g00000mgXoUAAU","S0236231M1","Malaysia","Item Updated"
"0035g00000mg0oiAAA","S0110983M1","Malaysia","Item Updated"
"0035g00000oacxzAAA","S0375079M1","Malaysia","Item Updated"
"0035g00000mgCVpAAM","S0155570M1","Malaysia","Item Updated"
"0035g00000mgjMoAAI","S0280188M1","Malaysia","Item Updated"
"0035g00000oag4uAAA","S0386555M1","Malaysia","Item Updated"
"0035g00000mgGNdAAM","S0169993M1","Malaysia","Item Updated"
"0035g00000oazWJAAY","S0459845M1","Malaysia","Item Updated"
"0035g00000mg1gdAAA","S0114206M1","Malaysia","Item Updated"
"0035g00000mgGGCAA2","S0169532M1","Malaysia","Item Updated"
"0035g00000mgWb0AAE","S0231601M1","Malaysia","Item Updated"
"0035g00000mgeyuAAA","S0263480M1","Malaysia","Item Updated"
"0035g00000mgLzdAAE","S0191124M1","Malaysia","Item Updated"
"0035g00000mgiJLAAY","S0276194M1","Malaysia","Item Updated"
"0035g00000mfkjJAAQ","S0050344M1","Malaysia","Item Updated"
"0035g00000mgeGjAAI","S0260770M1","Malaysia","Item Updated"
"0035g00000oas2CAAQ","S0431620M1","Malaysia","Item Updated"
"0035g00000mfcf7AAA","S0019672M1","Malaysia","Item Updated"
"0035g00000ob5VSAAY","S0482768M1","Malaysia","Item Updated"
"0035g00000mfkJgAAI","S0048870M1","Malaysia","Item Updated"
"0035g00000mfmJ2AAI","S0056303M1","Malaysia","Item Updated"
"0035g00000mgXoVAAU","S0236232M1","Malaysia","Item Updated"
"0035g00000mgT6hAAE","S0218245M1","Malaysia","Item Updated"
"0035g00000oacyLAAQ","S0375101M1","Malaysia","Item Updated"
"0035g00000mgAqeAAE","S0149233M1","Malaysia","Item Updated"
"0035g00000mgjMhAAI","S0280181M1","Malaysia","Item Updated"
"0035g00000oaf87AAA","S0383090M1","Malaysia","Item Updated"
"0035g00000mgGjgAAE","S0171309M1","Malaysia","Item Updated"
"0035g00000oarWWAAY","S0429671M1","Malaysia","Item Updated"
"0035g00000mfwo3AAA","S0095791M1","Malaysia","Item Updated"
"0035g00000mgqQAAAY","S0306484M1","Malaysia","Item Updated"
"0035g00000mgWtmAAE","S0232740M1","Malaysia","Item Updated"
"0035g00000mgCcsAAE","S0156002M1","Malaysia","Item Updated"
"0035g00000mgLzfAAE","S0191126M1","Malaysia","Item Updated"
"0035g00000oaQQiAAM","S0328382M1","Malaysia","Item Updated"
"0035g00000mfjkgAAA","S0046725M1","Malaysia","Item Updated"
"0035g00000mgeGkAAI","S0260771M1","Malaysia","Item Updated"
"0035g00000oam60AAA","S0409297M1","Malaysia","Item Updated"
"0035g00000mfZNoAAM","S0007405M1","Malaysia","Item Updated"
"0035g00000ob3xTAAQ","S0476817M1","Malaysia","Item Updated"
"0035g00000mfkJiAAI","S0048872M1","Malaysia","Item Updated"
"0035g00000mfmJ3AAI","S0056304M1","Malaysia","Item Updated"
"0035g00000mgXoWAAU","S0236233M1","Malaysia","Item Updated"
"0035g00000oaVWQAA2","S0347276M1","Malaysia","Item Updated"
"0035g00000mfpizAAA","S0069289M1","Malaysia","Item Updated"
"0035g00000mgB3AAAU","S0149999M1","Malaysia","Item Updated"
"0035g00000mgjMSAAY","S0280166M1","Malaysia","Item Updated"
"0035g00000mfq5qAAA","S0070646M1","Malaysia","Item Updated"
"0035g00000mgGrkAAE","S0171800M1","Malaysia","Item Updated"
"0035g00000ob1ZUAAY","S0467690M1","Malaysia","Item Updated"
"0035g00000mfwo4AAA","S0095792M1","Malaysia","Item Updated"
"0035g00000mga5kAAA","S0244929M1","Malaysia","Item Updated"
"0035g00000mgWuVAAU","S0232785M1","Malaysia","Item Updated"
"0035g00000mggmBAAQ","S0270324M1","Malaysia","Item Updated"
"0035g00000mgYnQAAU","S0239989M1","Malaysia","Item Updated"
"0035g00000oaQQmAAM","S0328386M1","Malaysia","Item Updated"
"0035g00000mfZEfAAM","S0006843M1","Malaysia","Item Updated"
