"SESCORE__SUPPORTER_ID__C","MAILINGCOUNTRY","ERROR"
"S0523130M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0482570M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0545455M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0601845M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0161813M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0249724M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0583912M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0613708M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0244180M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
"S0501856M1","Malaysia","unable to obtain exclusive access to this record or 200 records: 0035g00000mgQvUAAU,0035g000013kG8sAAE,0035g00000zYQw1AAG,0035g00000mgdOWAAY,0035g00000ob600AAA,0035g00001BPC9kAAH,0035g00000ob8Q6AAI,0035g00000oakDGAAY,0035g00000mgIGUAA2,0035g00000oayv8AAA, ... (190 more)"
